run,max_len,lr,warmup,sampler,alpha,loss_weights,val_acc,macro_f1,val_loss,recall_Design_Science_-_System_Design,recall_Mixed_Methods,recall_Qualitative,recall_Theoretical_-_Conceptual
C3_combo_len256,256,1.5e-05,0.1,True,0.5,True,0.7278424350940018,0.5543165884255938,1.8831,0.7737226277372263,0.574468085106383,0.4444444444444444,0.690625
C1_baseline_len256,256,2e-05,0.0,False,0.0,False,0.7958818263205013,0.5173136414929549,0.759,0.908029197080292,0.46808510638297873,0.0,0.696875
C2_lossweights_len256,256,2e-05,0.0,False,0.0,True,0.4556848701880036,0.41732853327498076,1.8565,0.3416058394160584,0.4574468085106383,0.5,0.696875
