run,max_len,lr,warmup,sampler,alpha,loss_weights,val_acc,macro_f1,val_loss,recall_Design_Science_-_System_Design,recall_Mixed_Methods,recall_Qualitative,recall_Theoretical_-_Conceptual
D2_lossweights_len256,256,2e-05,0.06,False,0.0,True,0.8325872873769025,0.5733813059436691,0.9445,0.8846715328467153,0.6170212765957447,0.0,0.83125
D3_combo_len256,256,1e-05,0.1,True,0.5,True,0.6508504923903312,0.5211466800608825,1.0149,0.6861313868613139,0.6595744680851063,0.3333333333333333,0.590625
D1_baseline_len256,256,3e-05,0.06,False,0.0,False,0.8093106535362579,0.4932282369546266,0.7445,0.9197080291970803,0.23404255319148937,0.0,0.7875
